"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","age18_34_bin",2058,-0.043,-0.099,0.013,0.131,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","age55plus_bin",2058,0.021,-0.03,0.072,0.414,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","alberta_bin",2058,0,-0.055,0.056,0.99,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","children_bin",2058,-0.013,-0.056,0.03,0.55,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","employ_fulltime_bin",2058,0.002,-0.043,0.048,0.918,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","ideo_define_QC_first_bin",2058,0.035,-0.04,0.11,0.363,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","ideo_right_num",2058,-0.001,-0.098,0.096,0.984,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","ideo_vote_fed_left",2058,0.026,-0.072,0.125,0.597,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","ideo_vote_prov_left",2058,0.022,-0.037,0.08,0.466,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","incomeHigh_bin",2058,-0.054,-0.109,0.001,0.053,".","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","quebec_bin",2058,0.036,-0.025,0.098,0.25,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","region_eastcoast_bin",2058,0.034,-0.02,0.088,0.211,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","ses_male_bin",2058,0.034,-0.005,0.072,0.087,".","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","trust_inst_fed_bin",2058,-0.029,-0.081,0.023,0.278,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","trust_inst_prov_bin",2058,0.016,-0.036,0.068,0.536,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","univ_educ_bin",2058,-0.009,-0.048,0.03,0.649,"","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","vote_PCC_bin",2058,-0.052,-0.11,0.006,0.077,".","No clear effect","LPM"
"uc_bin_lpm","Home care: narrow beneficiaries (first choice)","vote_PLC_bin",2058,0.003,-0.049,0.055,0.9,"","No clear effect","LPM"
"uc_bin_lpm","Childcare: broad beneficiaries (first choice)","age18_34_bin",2059,-0.005,-0.064,0.054,0.873,"","No clear effect","LPM"
"uc_bin_lpm","Childcare: broad beneficiaries (first choice)","age55plus_bin",2059,-0.061,-0.118,-0.005,0.034,"*","Negative","LPM"
"uc_bin_lpm","Childcare: broad beneficiaries (first choice)","alberta_bin",2059,-0.037,-0.097,0.022,0.223,"","No clear effect","LPM"
"uc_bin_lpm","Childcare: broad beneficiaries (first choice)","children_bin",2059,-0.04,-0.086,0.007,0.094,".","No clear effect","LPM"
"uc_bin_lpm","Childcare: broad beneficiaries (first choice)","employ_fulltime_bin",2059,0.058,0.009,0.106,0.02,"*","Positive","LPM"
"uc_bin_lpm","Childcare: broad beneficiaries (first choice)","ideo_define_QC_first_bin",2059,-0.055,-0.145,0.034,0.226,"","No clear effect","LPM"
"uc_bin_lpm","Childcare: broad beneficiaries (first choice)","ideo_right_num",2059,0.04,-0.072,0.152,0.48,"","No clear effect","LPM"
"uc_bin_lpm","Childcare: broad beneficiaries (first choice)","ideo_vote_fed_left",2059,-0.012,-0.125,0.1,0.829,"","No clear effect","LPM"
